Title,Year,Type,Rating,Votes,Score,ID,Link
Exit,2006,Movie,5.8,2310,49,tt0482957,https://www.imdb.com/title/tt0482957
Doom,2005,Movie,5.2,122035,45,tt0419706,https://www.imdb.com/title/tt0419706
Nasledie,2023,Movie,6.2,111,45,tt27868183,https://www.imdb.com/title/tt27868183
Another Life,2019,TV Series,5.3,39625,44,tt8369840,https://www.imdb.com/title/tt8369840
Sleeping Beauty,2011,Movie,5.3,35737,44,tt1588398,https://www.imdb.com/title/tt1588398
The Thinning,2016,Movie,5.3,10928,40,tt5254868,https://www.imdb.com/title/tt5254868
Rapture-Palooza,2013,Movie,5.2,13096,37,tt1879032,https://www.imdb.com/title/tt1879032
Never Let Go,2015,Movie,5.3,1115,32,tt3833474,https://www.imdb.com/title/tt3833474
Vineyards,2023,Movie,6.1,12,29,tt13792468,https://www.imdb.com/title/tt13792468
Teen Choice Awards 2017,2017,TV Series,5.6,50,27,tt7168796,https://www.imdb.com/title/tt7168796
Proximity,2020,Movie,4.8,7622,26,tt8718300,https://www.imdb.com/title/tt8718300
Takarashima sendai,1956,Movie,5.9,12,25,tt0204670,https://www.imdb.com/title/tt0204670
Acma: Game - The Final Key,2024,Movie,5.9,10,24,tt33349179,https://www.imdb.com/title/tt33349179
The Boy Next Door,2008,Movie,4.9,470,21,tt1340765,https://www.imdb.com/title/tt1340765
Cube,2021,Movie,4.5,2960,18,tt13975458,https://www.imdb.com/title/tt13975458
Drive Back,2024,Movie,4.5,728,16,tt23639696,https://www.imdb.com/title/tt23639696
Alien Invasion: S.U.M.1,2017,Movie,4.3,1805,15,tt4279116,https://www.imdb.com/title/tt4279116
The Jester,2023,Movie,3.9,3877,11,tt26533869,https://www.imdb.com/title/tt26533869
Box: Metaphor,2023,Movie,3.1,1794,4,tt14325028,https://www.imdb.com/title/tt14325028
Iron Fist Danny,2017,TV Series (Marvel's Iron Fist),,,0,,
Under Laboratory Conditions,2006,TV Series,,,0,tt14469248,https://www.imdb.com/title/tt14469248
Lal Rekha,2020,TV Series,,,0,tt16970874,https://www.imdb.com/title/tt16970874
Room 1408,2007,Movie,,,0,,
The Incident Stairwell,N/A,Short Film (Unconfirmed),,,0,,
